code,title,instructor,period,description,type
ARTS 133,Painting II: States of Being,Amy Wynne,s20,,c
EN 228 / IDCE 328,Food Security and Climate Change,Morgan Ruelle,s20,,c
EN 242 / IDCE 332,Sustainable Development Assessment and Planning,Timothy Downs,s20,,c
ENG 111,Creative Writing: Nonfiction,Michael Carolan,s20,,c
ES 1970,Sustainability and the Sacred (SPS),Rachael Shea,s20,,c
ID 221 / IDCE 30121,Food Systems: Place Politics and Policy,Ramon Borges-Mendez,s20,,c
ID 234 / IDCE 30334,NEC Council Collaborative,Walter Wright and Sarah Buie,s20,,c
IDCE 365,"Cities, Regions, Climate Change and Health",Timothy Downs,s20,,c
PSTD 101,Introduction to Peace Studies,Jude Fernando,s20,,c
EN 217,Place-Based Ecological Knowledge,Morgan Ruelle,s20,,a
ENG 275 / 375,Fictions of Empire: Studies in Global English Literature,Steve Levin,s20,,a
GEOG 201 / 301,"Taste, Culture, Power: Historical Geographies of Food",Youjin Chung,s20,,a
GEOG 220,Property and the Global Environment,James McCarthy,s20,,a
GEOG 263,The Climate System and Global Environmental Change,Karen Frey,s20,,a
GEOG 280 / 380,Urban Ecology: Cities as Ecosystems,Rinku Roy Chowdhury,s20,,a
GEOG 286,Geographies of Poverty and Inequality,Jessa Loomis,s20,,a
GEOG 386,Political Ecologies of the Anthropocene,James McCarthy,s20,,a
IDCE 343,Understanding and Responding to the Migrant / Refugee Challenge,Timothy Downs and Anita Fabos,s20,,a
PHIL 131,Environmental Ethics,Patrick Derr,s20,,a
GEOG 119,The Arctic in the Anthropocene,Karen Frey,f19,,c
GEOG 196,"Development and Environment in Latin America: Difficult Questions, Creative Responses",Anthony Bebbington,f19,,c
ID 220,Critical Pedagogy for Social and Environmental Justice: Liberal Arts Education in Practice,Jude Fernando,f19,,c
ID 234 / IDCE 30334,Climate Praxis: Reflection and Action for the Unthinkable,Tim DeChristopher,f19,,c
ID 254 / IDCE 30154,"Mega Development: Exploring the nexus between natural resource extraction, infrastructure development and environment",Denise Humphreys Bebbington,f19,,c
IDCE 395 / ID 294,"Culture, Environment and Development",Cynthia Caron,f19,,c
IDND 052,Writing: Sense of Place,Jessica Bane-Robert,f19,,c
PHYS 243 / PHYS 343,Technologies of Renewable Energy,Chuck Agosta,f19,,c
ARTS 150,Art and Meditation,Amy Wynne,f19,,a
ASTR 001,Exploring the Universe,Charles Agosta,f19,,a
EN 101,Environmental Science and Policy: Introductory Case Studies,Morgan Ruelle,f19,,a
EN 120,Discovering Environmental Science,Timothy Downs,f19,,a
GEOG 017,Environment and Society,James McCarthy,f19,,a
GEOG 136,Gender and Environment,Youjin Chung,f19,,a
ID 207,Beyond the Population Bomb,Ellen Foley,f19,,a
IDCE 30118,Science Meets Policy in Real World,Morgan Ruelle,f19,,a
IDCE 358,AD TP: International Climate Negotiations,Elisabeth Gilmore,f19,,a
PHIL 100,The Good Life,Charles DeMarco,f19,,a
EN 217 / IDCE 30117,Place-Based Ecological Knowledge,Morgan Ruelle,s19,,c
IDND 297,NEC Council Collaborative,Walter Wright and Sarah Buie,s19,,c
ENG 256 / 356,Ecologies in Crisis: Views from the Humanities,Chuck Agosta,f18,,c
PHYS 343,echnology of Renewable Energy,Chuck Agosta,f18,,c
